date,category,title,article_count
2025-11-21,economy,고창 운곡습지·강원랜드·한전KPS 등 최우수 ESG 평가,85
2025-11-21,economy,"포스코, 포항제철소 사고 후 안전 대책 강화",57
2025-11-21,economy,"삼성전자, 전영현·노태문 투톱 체제 복원",49
2025-11-21,economy,김영삼 전 대통령 서거 10주기 추모식,44
2025-11-21,economy,"박철우 서울중앙지검장, 성찰과 조직 안정 강조",42
2025-11-21,economy,"윤석열 전 대통령, 채해병 사건 외압 혐의로 기소",30
2025-11-21,economy,"농심, 조용철 부사장 신임 대표이사 내정",28
2025-11-21,economy,휴대전화 요구 거부로 자택 방화한 10대 여중생 입건,27
2025-11-21,economy,"삼성E&A-대한항공, 미국 SAF 시장 진출 협력",25
2025-11-21,economy,20년 만의 신정동 연쇄살인 진범 특정,24
2025-11-20,economy,패스트트랙 충돌 사건 1심 선고 결과,123
2025-11-20,economy,"대형 여객선 좌초 사고, 운항 과실 및 관제 소홀 드러나",91
2025-11-20,economy,"NH·한화·컴투스·현대로템, ESG 평가서 우수 성과",55
2025-11-20,economy,"삼성전자, C랩 스타트업 데모데이 개최",48
2025-11-20,economy,"S-OIL, 현대차 등 기업 사회공헌 활동 인정",42
2025-11-20,economy,포스코 포항제철소 가스 누출 사고 발생,41
2025-11-20,economy,"법무부 장관, 한동훈 전 장관의 론스타 취소 신청 평가",37
2025-11-20,economy,"LG에너지솔루션, 2년 연속 XBRL 재무공시 우수법인 선정",35
2025-11-20,economy,"김우빈·신민아, 공개연애 10년 만에 결혼",34
2025-11-20,economy,2026년 지자체별 예산안 주요 내용,31
2025-11-19,economy,제주항공·신한금융 등 ESG 평가 상위 등급 획득,168
2025-11-19,economy,"전국 지자체, 고액·상습 체납자 명단 공개",62
2025-11-19,economy,김용현 전 장관 변호인 구속 및 윤석열 전 대통령 증인 출석,50
2025-11-19,economy,"KT 조사방해 의혹‥경찰, 판교·방배 사옥 압수수색",47
2025-11-19,economy,"DL이앤씨, 필리핀 대통령과 에너지·인프라 협력 논의",44
2025-11-19,economy,2025 KB굿잡 대전일자리 페스티벌 성료,37
2025-11-19,economy,"삼성전자, 세계 최대 크루즈선에 TV·사이니지 6천대 공급",36
2025-11-19,economy,부산·울산·경남·고액 체납자 명단 공개,34
2025-11-19,economy,"중·일 갈등 심화, 일본산 수산물 수입 중단",32
2025-11-19,economy,한·UAE 공동선언문 채택...원전·방산 협력 확대,32
2025-11-18,economy,"전광훈 목사, 서부지법 난동 사태 조사 출석",40
2025-11-18,economy,정부혁신TF 논란과 정치권 반응,31
2025-11-18,economy,"국민의힘, 법무부 장관·차관 고발",31
2025-11-18,economy,"카카오뱅크, 구몬학습, 통신3사 신서비스 출시",29
2025-11-18,economy,고령2터널 화물차 연쇄 추돌 사고 발생,27
2025-11-18,economy,전남 학교 무상급식 식품비 분담 ‘분쟁 해소’,27
2025-11-18,economy,항만 안전사고 예방 강화대책 발표 및 한국투자증권 투자 보호 기능 도입,27
2025-11-18,economy,"클럽마약 적발량 급증, 외국인 조직 단속",25
2025-11-18,economy,"KAI, 두바이 에어쇼서 KF-21 선보이며 중동 시장 공략",25
2025-11-18,economy,"대원제약, ESG 평가 최고등급 획득 및 베스트 100대 기업 선정",25
2025-11-17,economy,"현대차·기아, 공급망 탄소 감축 협약 체결",50
2025-11-17,economy,배우 나나 자택 침입 강도 “연예인 집인 줄 몰랐다”,40
2025-11-17,economy,이재명 대통령 지지도 3주 만에 하락,34
2025-11-17,economy,"이재명 대통령, 안권섭 변호사 특검 임명",34
2025-11-17,economy,"내란 특검, 노상원 전 사령관에 실형 구형",34
2025-11-17,economy,S-OIL-삼성SDS 통합 ITO 계약 체결,33
2025-11-17,economy,"기아, 평택에 미래형 모빌리티 복합센터 개소",31
2025-11-17,economy,"수원시, AI·반도체 중심 경제자유구역 구축 추진",31
2025-11-17,economy,수험생의 서부지법 난동 사건 집행유예 판결,30
2025-11-17,economy,이재명 대통령 중동·아프리카 4개국 순방,30
2025-11-21,economy,고창 운곡습지·강원랜드·한전KPS 등 최우수 ESG 평가,85
2025-11-21,economy,"포스코, 포항제철소 사고 후 안전 대책 강화",57
2025-11-21,economy,"삼성전자, 전영현·노태문 투톱 체제 복원",49
2025-11-21,economy,김영삼 전 대통령 서거 10주기 추모식,44
2025-11-21,economy,"박철우 서울중앙지검장, 성찰과 조직 안정 강조",42
2025-11-21,economy,"윤석열 전 대통령, 채해병 사건 외압 혐의로 기소",30
2025-11-21,economy,"농심, 조용철 부사장 신임 대표이사 내정",28
2025-11-21,economy,휴대전화 요구 거부로 자택 방화한 10대 여중생 입건,27
2025-11-21,economy,"삼성E&A-대한항공, 미국 SAF 시장 진출 협력",25
2025-11-21,economy,20년 만의 신정동 연쇄살인 진범 특정,24
2025-11-20,economy,패스트트랙 충돌 사건 1심 선고 결과,123
2025-11-20,economy,"대형 여객선 좌초 사고, 운항 과실 및 관제 소홀 드러나",91
2025-11-20,economy,"NH·한화·컴투스·현대로템, ESG 평가서 우수 성과",55
2025-11-20,economy,"삼성전자, C랩 스타트업 데모데이 개최",48
2025-11-20,economy,"S-OIL, 현대차 등 기업 사회공헌 활동 인정",42
2025-11-20,economy,포스코 포항제철소 가스 누출 사고 발생,41
2025-11-20,economy,"법무부 장관, 한동훈 전 장관의 론스타 취소 신청 평가",37
2025-11-20,economy,"LG에너지솔루션, 2년 연속 XBRL 재무공시 우수법인 선정",35
2025-11-20,economy,"김우빈·신민아, 공개연애 10년 만에 결혼",34
2025-11-20,economy,2026년 지자체별 예산안 주요 내용,31
2025-11-19,economy,제주항공·신한금융 등 ESG 평가 상위 등급 획득,168
2025-11-19,economy,"전국 지자체, 고액·상습 체납자 명단 공개",62
2025-11-19,economy,김용현 전 장관 변호인 구속 및 윤석열 전 대통령 증인 출석,50
2025-11-19,economy,"KT 조사방해 의혹‥경찰, 판교·방배 사옥 압수수색",47
2025-11-19,economy,"DL이앤씨, 필리핀 대통령과 에너지·인프라 협력 논의",44
2025-11-19,economy,2025 KB굿잡 대전일자리 페스티벌 성료,37
2025-11-19,economy,"삼성전자, 세계 최대 크루즈선에 TV·사이니지 6천대 공급",36
2025-11-19,economy,부산·울산·경남·고액 체납자 명단 공개,34
2025-11-19,economy,"중·일 갈등 심화, 일본산 수산물 수입 중단",32
2025-11-19,economy,한·UAE 공동선언문 채택...원전·방산 협력 확대,32
2025-11-18,economy,"전광훈 목사, 서부지법 난동 사태 조사 출석",40
2025-11-18,economy,정부혁신TF 논란과 정치권 반응,31
2025-11-18,economy,"국민의힘, 법무부 장관·차관 고발",31
2025-11-18,economy,"카카오뱅크, 구몬학습, 통신3사 신서비스 출시",29
2025-11-18,economy,고령2터널 화물차 연쇄 추돌 사고 발생,27
2025-11-18,economy,전남 학교 무상급식 식품비 분담 ‘분쟁 해소’,27
2025-11-18,economy,항만 안전사고 예방 강화대책 발표 및 한국투자증권 투자 보호 기능 도입,27
2025-11-18,economy,"클럽마약 적발량 급증, 외국인 조직 단속",25
2025-11-18,economy,"KAI, 두바이 에어쇼서 KF-21 선보이며 중동 시장 공략",25
2025-11-18,economy,"대원제약, ESG 평가 최고등급 획득 및 베스트 100대 기업 선정",25
2025-11-17,economy,"현대차·기아, 공급망 탄소 감축 협약 체결",50
2025-11-17,economy,배우 나나 자택 침입 강도 “연예인 집인 줄 몰랐다”,40
2025-11-17,economy,이재명 대통령 지지도 3주 만에 하락,34
2025-11-17,economy,"이재명 대통령, 안권섭 변호사 특검 임명",34
2025-11-17,economy,"내란 특검, 노상원 전 사령관에 실형 구형",34
2025-11-17,economy,S-OIL-삼성SDS 통합 ITO 계약 체결,33
2025-11-17,economy,"기아, 평택에 미래형 모빌리티 복합센터 개소",31
2025-11-17,economy,"수원시, AI·반도체 중심 경제자유구역 구축 추진",31
2025-11-17,economy,수험생의 서부지법 난동 사건 집행유예 판결,30
2025-11-17,economy,이재명 대통령 중동·아프리카 4개국 순방,30
2025-11-21,economy,고창 운곡습지·강원랜드·한전KPS 등 최우수 ESG 평가,85
