date,category,title,article_count,clean_title,keywords
2025-01-03,total,"8시께 진입했는데…공수처, 인간벽 친 경호처와 대치 중",691,8시께 진입했는데 공수처 인간벽 친 경호처와 대치 중,"['진입', '공수', '인간', '대치']"
2025-01-03,total,"공수처, 尹체포영장 제시…경호처장 ""수색 불허""",137,공수처 체포영장 제시 경호처장 수색 불허,"['공수', '체포영장', '제시', '처장', '수색', '불허']"
2025-01-03,total,경찰 '제주항공 참사 악성 게시글' 70건 내사,72,경찰 제주항공 참사 악성 게시글 70건 내사,"['제주항공', '악성', '게시']"
2025-01-03,total,F4 복귀한 최상목…“매주 회의 주재해 시장점검”,69,F4 복귀한 최상목 매주 회의 주재해 시장점검,"['F4', '복귀']"
2025-01-03,total,"권성동 ""무리한 대통령 체포 시도 자제해야""",63,권성동 무리한 대통령 체포 시도 자제해야,"['권성동', '무리', '대통령', '시도', '자제']"
2025-01-03,total,"외신, 공수처 尹 대통령 체포영장 집행 시도 집중 보도",58,외신 공수처 대통령 체포영장 집행 시도 집중 보도,"['외신', '공수', '대통령', '체포영장', '시도', '집중']"
2025-01-03,total,"검찰, '계엄 중요임무' 박안수·곽종근 구속 기소",52,검찰 계엄 중요임무 박안수 곽종근 구속 기소,"['계엄', '임무']"
2025-01-03,total,"SPC그룹, 파리바게뜨 글로벌 사업 조직 개편",45,SPC그룹 파리바게뜨 글로벌 사업 조직 개편,"['SPC그룹', '파리바게뜨', '조직', 'SPC']"
2025-01-03,total,1월 14일 탄핵심판 본격 시작…尹 출석 의무 있어,42,1월 14일 탄핵심판 본격 시작 출석 의무 있어,"['1월 14일', '탄핵', '심판', '의무']"
2025-01-03,total,"안보실, 부승찬 등 민주당 의원 13명 명훼 고발",33,안보실 부승찬 등 민주당 의원 13명 명훼 고발,"['안보', '승차', '민주당']"
2025-01-02,total,이정애 LG생활건강 사장 “글로벌 사업 재구조화 집중”,174,이정애 LG생활건강 사장 글로벌 사업 재구조화 집중,"['이정애', 'LG생활건강', '사장', '구조', '집중', 'LG']"
2025-01-02,total,"신동빈 회장 ""고강도 쇄신으로 핵심사업 경쟁력 회복""",151,신동빈 회장 고강도 쇄신으로 핵심사업 경쟁력 회복,"['신동빈', '강도', '경쟁력']"
2025-01-02,total,삼성전자 “지금까지 성공방식 초월한 혁신 필요”,129,삼성전자 지금까지 성공방식 초월한 혁신 필요,"['삼성전자', '방식', '초월']"
2025-01-02,total,"전남경찰, 무안공항·제주항공 등 압수수색",112,전남경찰 무안공항 제주항공 등 압수수색,"['전남', '무안', '제주항공']"
2025-01-02,total,"삼성전기·LG이노텍, 올해 성장 드라이브 건다",108,삼성전기 LG이노텍 올해 성장 드라이브 건다,"['삼성전기', 'LG이노텍', '드라이브', 'LG']"
2025-01-02,total,"경찰 ""공수처 尹 체포지원 위법성 없도록 협의""",103,경찰 공수처 체포지원 위법성 없도록 협의,"['공수', '위법성']"
2025-01-02,total,"우아한형제들, 우버 출신 김범석 신임 대표 선임",95,우아한형제들 우버 출신 김범석 신임 대표 선임,"['형제', '우버', '출신', '김범석', '신임', '선임']"
2025-01-02,total,"지지자에 편지 보낸 윤석열에…與 ""국민 간 충돌 우려""",80,지지자에 편지 보낸 윤석열에 국민 간 충돌 우려,"['지지자', '편지', '윤석열', '충돌']"
2025-01-02,total,최상목 엄호하는 이창용…경제 투톱 '비상 공조',80,최상목 엄호하는 이창용 경제 투톱 비상 공조,"['엄호', '이창용', '비상', '공조']"
2025-01-02,total,"최평규 SNT그룹 회장, 지속가능 경영 강조",65,최평규 SNT그룹 회장 지속가능 경영 강조,['SNT']
2025-01-01,total,"대통령실 수석 이상 참모진, 崔대행에 사의",146,대통령실 수석 이상 참모진 대행에 사의,"['대통령', '수석', '이상', '참모진', '대행']"
2025-01-01,total,"최상목 권한대행, 현충원 참배·중대본 개최·군부대 방문",94,최상목 권한대행 현충원 참배 중대본 개최 군부대 방문,"['대행', '충원', '중대', '군부대']"
2025-01-01,total,공수처장 “尹체포영장 원칙따라 집행… 막으면 공무방해”,86,공수처장 체포영장 원칙따라 집행 막으면 공무방해,"['공수', '처장', '체포영장', '공무', '방해']"
2025-01-01,total,"박찬대, 새해 첫날 현충원 찾아 ""내란극복·민생안정""",78,박찬대 새해 첫날 현충원 찾아 내란극복 민생안정,"['박찬', '첫날', '충원', '내란', '극복', '민생']"
2025-01-01,total,"최상목 권한대행 ""민생과 국정안정에 온 힘""",60,최상목 권한대행 민생과 국정안정에 온 힘,"['대행', '민생', '국정']"
2025-01-01,total,지난해 수출 역대 최대…6838억달러,57,지난해 수출 역대 최대 6838억달러,[]
2025-01-01,total,"정지선 현대백 회장 신년사 ""변화의 파고 함께 맞서자""",51,정지선 현대백 회장 신년사 변화의 파고 함께 맞서자,"['정지선', '현대', '신년사', '변화', '파고']"
2025-01-01,total,"김병환 위원장 ""금융 시장 안정 최우선…민생금융 강화""",30,김병환 위원장 금융 시장 안정 최우선 민생금융 강화,"['김병화', '금융 시장', '민생']"
2025-01-01,total,"김태규 방통위원장 대행, 사직서 제출",23,김태규 방통위원장 대행 사직서 제출,"['김태규', '방통', '대행', '사직서']"
2025-01-01,total,"서울시, 민생회복·소상공인 총력 지원에 2.1조 투입",23,서울시 민생회복 소상공인 총력 지원에 2 1조 투입,"['서울시', '민생', '소상', '공인', '총력', '투입']"
2025-01-10,total,"박종준 경호처장, 오전 10시 경찰 출석 예정",140,박종준 경호처장 오전 10시 경찰 출석 예정,"['박종준', '처장']"
2025-01-10,total,"최상목 ""금융 변동성 완화됐으나 높은 경계심""",70,최상목 금융 변동성 완화됐으나 높은 경계심,['경계심']
2025-01-10,total,'백골단' 국회 기자회견 논란…김민전 사과,65,백골단 국회 기자회견 논란 김민전 사과,"['기자회견', '김민전', '사과']"
2025-01-10,total,"경찰, 2차 체포작전 지휘관 총소집…작전계획 논의",44,경찰 2차 체포작전 지휘관 총소집 작전계획 논의,"['작전', '지휘관', '소집']"
2025-01-10,total,국민의힘 34%·민주 36%…계엄 이전으로 지지율 회복,34,국민의힘 34 민주 36 계엄 이전으로 지지율 회복,"['민주', '계엄']"
2025-01-10,total,노상원 전 정보사령관 구속기소…계엄 사전모의 혐의,34,노상원 전 정보사령관 구속기소 계엄 사전모의 혐의,"['상원', '정보', '사령관', '계엄', '전모']"
2025-01-10,total,"의료계와 협상 나서는 與…권성동 ""수련특례 요청""",33,의료계와 협상 나서는 권성동 수련특례 요청,"['의료', '권성동', '수련', '특례', '요청']"
2025-01-10,total,기업은행 240억 불법 대출 적발…금감원 현장검사 나서,25,기업은행 240억 불법 대출 적발 금감원 현장검사 나서,"['기업은행', '불법', '대출', '적발', '금감원', '검사']"
2025-01-10,total,"SKT, SK하이닉스·펭귄솔루션스와 AI DC 동맹",23,SKT SK하이닉스 펭귄솔루션스와 AI DC 동맹,"['SK하이닉스', '펭귄', '솔루션스', '동맹', 'SKT', 'SK', 'AI', 'DC']"
2025-01-10,total,이재명 해병 특검법 신속 추진 ,22,이재명 해병 특검법 신속 추진,"['이재명', '특검', '신속']"
2025-01-09,total,'항명 혐의' 박정훈 대령 1심 무죄,123,항명 혐의 박정훈 대령 1심 무죄,"['항명', '박정훈', '대령', '무죄']"
2025-01-09,total,"경찰, ‘尹 체포 방해’ 26명 경호처에 신원확인 요청",87,경찰 체포 방해 26명 경호처에 신원확인 요청,"['방해', '신원', '확인', '요청']"
2025-01-09,total,"당정, 설 성수품 평시 대비 1.6배 이상 확대 공급",82,당정 설 성수품 평시 대비 1 6배 이상 확대 공급,"['당정', '성수', '평시', '이상']"
2025-01-09,total,"‘여신도 성폭행’ JMS 정명석, 징역 17년형 확정",64,여신도 성폭행 JMS 정명석 징역 17년형 확정,"['여신', '성폭행', '정명석', '징역', 'JMS']"
2025-01-09,total,"민주, 내란 특검법 재발의…외환유치죄·제3자 추천 포함",64,민주 내란 특검법 재발의 외환유치죄 제3자 추천 포함,"['민주', '내란', '특검', '재발', '외환유치죄', '추천', '포함']"
2025-01-09,total,"SK하이닉스, 최태원·젠슨황 만남에 3% 상승세",56,SK하이닉스 최태원 젠슨황 만남에 3 상승세,"['SK하이닉스', '최태원', '만남', '상승세', 'SK']"
2025-01-09,total,"현대차그룹, 25년 역대 최대 규모 국내 투자",56,현대차그룹 25년 역대 최대 규모 국내 투자,['현대차']
2025-01-09,total,"미 반도체 수출, 중·러엔 아예 안한다",49,미 반도체 수출 중 러엔 아예 안한다,['반도체']
2025-01-09,total,제주항공 참사 희생자 모두 영면…사고 발생 11일 만,47,제주항공 참사 희생자 모두 영면 사고 발생 11일 만,"['제주항공', '희생자']"
2025-01-09,total,"헌법재판소 ""尹 탄핵 심판 속도, 이례적이지 않아""",46,헌법재판소 탄핵 심판 속도 이례적이지 않아,"['헌법재판소', '탄핵', '심판', '속도', '이례']"
2025-01-08,total,1월 27일 임시 공휴일 지정… 설 연휴 총 엿새 쉰다,97,1월 27일 임시 공휴일 지정 설 연휴 총 엿새 쉰다,"['1월 27일', '임시', '공휴일', '지정']"
2025-01-08,total,"국힘, 내란·김여사 특검법 '부결' 당론 유지 결정",95,국힘 내란 김여사 특검법 부결 당론 유지 결정,"['내란', '특검', '당론']"
2025-01-08,total,"野, 윤석열 대통령 도피설 제기…""제보 있다""",89,윤석열 대통령 도피설 제기 제보 있다,"['윤석열', '대통령', '도피', '제보']"
2025-01-08,total,삼성전자 4분기 실적 기대치 밑돌아,67,삼성전자 4분기 실적 기대치 밑돌아,['삼성전자']
2025-01-08,total,"이재명 ""법질서 안 지켜지면, 민생·경제는 모래성""",65,이재명 법질서 안 지켜지면 민생 경제는 모래성,"['이재명', '법질서', '민생', '모래성']"
2025-01-08,total,"정용진, 트럼프 취임식 참석…무도회까지 초대받아",50,정용진 트럼프 취임식 참석 무도회까지 초대받아,"['정용진', '트럼프', '취임식', '무도회', '초대']"
2025-01-08,total,'전당대회 돈봉투 의혹' 송영길 1심 징역 2년,44,전당대회 돈봉투 의혹 송영길 1심 징역 2년,"['전당', '대회', '봉투', '송영길', '징역']"
2025-01-08,total,경상수지 7개월 연속 흑자에도…흑자 폭 두달 연속 감소,39,경상수지 7개월 연속 흑자에도 흑자 폭 두달 연속 감소,"['경상수지', '두다']"
2025-01-08,total,"기상청 ""서울 전역에 오후 9시 한파주의보 발효""",32,기상청 서울 전역에 오후 9시 한파주의보 발효,"['기상청', '전역', '한파', '주의보', '발효']"
2025-01-08,total,별풍선 쏘려고…공금 5억 빼돌린 병원 직원 결국,30,별풍선 쏘려고 공금 5억 빼돌린 병원 직원 결국,"['풍선', '공금', '병원', '직원']"
2025-01-07,total,"박찬대 ""공수처, 영장 재발부시 尹 반드시 체포해야""",109,박찬대 공수처 영장 재발부시 반드시 체포해야,"['박찬', '공수', '재발', '부시']"
2025-01-07,total,"尹대통령측 ""형법상 내란죄 철회는 탄핵소추 각하 사유""",92,대통령측 형법상 내란죄 철회는 탄핵소추 각하 사유,"['대통령', '형법', '내란죄', '탄핵', '소추', '사유']"
2025-01-07,total,"민주, 최상목 권한대행..직무유기 혐의 고발",55,민주 최상목 권한대행 직무유기 혐의 고발,"['민주', '대행', '직무', '유기']"
2025-01-07,total,"경찰, ‘2차 소환 불응’ 경호처장에 3차 소환 통보",52,경찰 2차 소환 불응 경호처장에 3차 소환 통보,"['불응', '처장']"
2025-01-07,total,"오동운 공수처장 ""윤 대통령 체포 무산, 국민께 죄송""",47,오동운 공수처장 윤 대통령 체포 무산 국민께 죄송,"['동우', '공수', '처장', '대통령', '무산']"
2025-01-07,total,中 티베트에서 규모 6.8 강진…9명 사망,41,티베트에서 규모 6 8 강진 9명 사망,"['티베트', '강진', '사망']"
2025-01-07,total,"일본 투자, 375% 폭발! 한국에 쏟아진 외국인 자본",38,일본 투자 375 폭발 한국에 쏟아진 외국인 자본,"['일본', '폭발', '외국인', '자본']"
2025-01-07,total,건강보험 급여 보장률 전년 대비 0.8%p↓,35,건강보험 급여 보장률 전년 대비 0 8 p,"['건강보험', '급여', '보장']"
2025-01-07,total,"경찰, 제주항공 참사 유가족 비방 144건 수사 중",35,경찰 제주항공 참사 유가족 비방 144건 수사 중,"['제주항공', '유가족', '비방']"
2025-01-07,total,"KB국민은행, 중소기업·소상공인 대상 금융지원 시행  ",32,KB국민은행 중소기업 소상공인 대상 금융지원 시행,"['국민은행', '소상', '공인', 'KB']"
2025-01-06,total,"尹체포 난항…공수처, 체포영장 기한 연장 신청키로",405,체포 난항 공수처 체포영장 기한 연장 신청키로,"['난항', '공수', '체포영장', '기한']"
