date,category,title,article_count
2025-01-03,total,"8시께 진입했는데…공수처, 인간벽 친 경호처와 대치 중",691
2025-01-03,total,"공수처, 尹체포영장 제시…경호처장 ""수색 불허""",137
2025-01-03,total,경찰 '제주항공 참사 악성 게시글' 70건 내사,72
2025-01-03,total,F4 복귀한 최상목…“매주 회의 주재해 시장점검”,69
2025-01-03,total,"권성동 ""무리한 대통령 체포 시도 자제해야""",63
2025-01-03,total,"외신, 공수처 尹 대통령 체포영장 집행 시도 집중 보도",58
2025-01-03,total,"검찰, '계엄 중요임무' 박안수·곽종근 구속 기소",52
2025-01-03,total,"SPC그룹, 파리바게뜨 글로벌 사업 조직 개편",45
2025-01-03,total,1월 14일 탄핵심판 본격 시작…尹 출석 의무 있어,42
2025-01-03,total,"안보실, 부승찬 등 민주당 의원 13명 명훼 고발",33
2025-01-02,total,이정애 LG생활건강 사장 “글로벌 사업 재구조화 집중”,174
2025-01-02,total,"신동빈 회장 ""고강도 쇄신으로 핵심사업 경쟁력 회복""",151
2025-01-02,total,삼성전자 “지금까지 성공방식 초월한 혁신 필요”,129
2025-01-02,total,"전남경찰, 무안공항·제주항공 등 압수수색",112
2025-01-02,total,"삼성전기·LG이노텍, 올해 성장 드라이브 건다",108
2025-01-02,total,"경찰 ""공수처 尹 체포지원 위법성 없도록 협의""",103
2025-01-02,total,"우아한형제들, 우버 출신 김범석 신임 대표 선임",95
2025-01-02,total,"지지자에 편지 보낸 윤석열에…與 ""국민 간 충돌 우려""",80
2025-01-02,total,최상목 엄호하는 이창용…경제 투톱 '비상 공조',80
2025-01-02,total,"최평규 SNT그룹 회장, 지속가능 경영 강조",65
2025-01-01,total,"대통령실 수석 이상 참모진, 崔대행에 사의",146
2025-01-01,total,"최상목 권한대행, 현충원 참배·중대본 개최·군부대 방문",94
2025-01-01,total,공수처장 “尹체포영장 원칙따라 집행… 막으면 공무방해”,86
2025-01-01,total,"박찬대, 새해 첫날 현충원 찾아 ""내란극복·민생안정""",78
2025-01-01,total,"최상목 권한대행 ""민생과 국정안정에 온 힘""",60
2025-01-01,total,지난해 수출 역대 최대…6838억달러,57
2025-01-01,total,"정지선 현대백 회장 신년사 ""변화의 파고 함께 맞서자""",51
2025-01-01,total,"김병환 위원장 ""금융 시장 안정 최우선…민생금융 강화""",30
2025-01-01,total,"김태규 방통위원장 대행, 사직서 제출",23
2025-01-01,total,"서울시, 민생회복·소상공인 총력 지원에 2.1조 투입",23
2025-01-10,total,"박종준 경호처장, 오전 10시 경찰 출석 예정",140
2025-01-10,total,"최상목 ""금융 변동성 완화됐으나 높은 경계심""",70
2025-01-10,total,'백골단' 국회 기자회견 논란…김민전 사과,65
2025-01-10,total,"경찰, 2차 체포작전 지휘관 총소집…작전계획 논의",44
2025-01-10,total,국민의힘 34%·민주 36%…계엄 이전으로 지지율 회복,34
2025-01-10,total,노상원 전 정보사령관 구속기소…계엄 사전모의 혐의,34
2025-01-10,total,"의료계와 협상 나서는 與…권성동 ""수련특례 요청""",33
2025-01-10,total,기업은행 240억 불법 대출 적발…금감원 현장검사 나서,25
2025-01-10,total,"SKT, SK하이닉스·펭귄솔루션스와 AI DC 동맹",23
2025-01-10,total,이재명 해병 특검법 신속 추진 ,22
2025-01-09,total,'항명 혐의' 박정훈 대령 1심 무죄,123
2025-01-09,total,"경찰, ‘尹 체포 방해’ 26명 경호처에 신원확인 요청",87
2025-01-09,total,"당정, 설 성수품 평시 대비 1.6배 이상 확대 공급",82
2025-01-09,total,"‘여신도 성폭행’ JMS 정명석, 징역 17년형 확정",64
2025-01-09,total,"민주, 내란 특검법 재발의…외환유치죄·제3자 추천 포함",64
2025-01-09,total,"SK하이닉스, 최태원·젠슨황 만남에 3% 상승세",56
