keyword,year,month,count
관세,2025,1,273
관세,2025,2,1470
관세,2025,3,643
관세,2025,4,1402
관세,2025,5,215
관세,2025,6,3
관세,2025,7,1562
관세,2025,8,160
관세,2025,9,52
관세,2025,10,601
관세,2025,11,149
대선,2025,2,130
대선,2025,3,33
대선,2025,4,1947
대선,2025,5,1652
대선,2025,6,422
대선,2025,8,13
대선,2025,9,40
대통령,2025,1,1449
대통령,2025,2,754
대통령,2025,3,1585
대통령,2025,4,3601
대통령,2025,5,360
대통령,2025,6,1985
대통령,2025,7,2586
대통령,2025,8,1542
대통령,2025,9,1213
대통령,2025,10,930
대통령,2025,11,1167
산불,2025,1,31
산불,2025,3,4603
산불,2025,4,2048
산불,2025,5,98
산불,2025,6,37
윤석열,2025,1,395
윤석열,2025,2,393
윤석열,2025,3,429
윤석열,2025,4,2541
윤석열,2025,5,149
윤석열,2025,6,166
윤석열,2025,7,731
윤석열,2025,8,487
윤석열,2025,9,115
윤석열,2025,10,117
윤석열,2025,11,160
이재명,2025,1,778
이재명,2025,2,1043
이재명,2025,3,1779
이재명,2025,4,1892
이재명,2025,5,1506
이재명,2025,6,1804
이재명,2025,7,1490
이재명,2025,8,1056
이재명,2025,9,1040
이재명,2025,10,691
이재명,2025,11,682
탄핵,2025,1,976
탄핵,2025,2,1269
탄핵,2025,3,3182
탄핵,2025,4,2314
탄핵,2025,6,20
트럼프,2025,1,1160
트럼프,2025,2,1397
트럼프,2025,3,1025
트럼프,2025,4,491
트럼프,2025,5,136
트럼프,2025,6,222
트럼프,2025,7,363
트럼프,2025,8,188
트럼프,2025,10,503
한덕수,2025,2,184
한덕수,2025,3,2140
한덕수,2025,4,2029
한덕수,2025,5,332
한덕수,2025,7,48
한덕수,2025,8,127
한덕수,2025,9,119
한덕수,2025,11,36
현대차,2025,1,487
현대차,2025,2,246
현대차,2025,3,178
현대차,2025,4,480
현대차,2025,5,460
현대차,2025,6,406
현대차,2025,7,487
현대차,2025,8,312
현대차,2025,9,439
현대차,2025,10,266
현대차,2025,11,461
