keyword,count
대통령,17172
이재명,13761
탄핵,7761
산불,6817
관세,6530
윤석열,5683
트럼프,5485
한덕수,5015
대선,4237
현대차,4222
미국,4041
헌재,4023
특검,3998
LG,3523
AI,3135
SK,2661
민주당,2564
내란,2545
삼성전자,2433
김문수,2221
국무총리,2115
반도체,2072
김건희,2018
기아,1853
현대,1834
삼성,1599
정상회담,1440
파면,1423
한화,1398
선거법,1376
에너지,1349
집중호우,1342
중국,1298
체포영장,1255
ESG,1235
경기,1198
아파트,1122
대통령 선거,1121
진화,1106
청년,1102
KB,1049
셀트리온,1049
권성동,1045
주택,1025
고려,1012
캄보디아,996
ETF,972
헌법재판소,960
LG전자,947
상법,945
항소심,932
이재용,916
헌정,899
KT,894
포스코,881
일본,869
변론,865
사과,863
무죄,861
헌법재판,859
구속영장,853
오세훈,843
대치,841
공장,837
강제,837
신한,833
인상,826
출범,823
영남,814
현황,808
할인,803
동결,799
거부,798
추경,795
시도,792
투표,792
공정,787
인하,783
발언,772
거부권,770
진입,766
고려아연,763
코리아,758
징역,757
APEC,746
개정안,742
여론,737
모집,736
이벤트,734
제주항공,734
부문,732
단일,731
통합,728
인천,727
울산,727
SK하이닉스,718
고조,715
경쟁력,714
모빌리티,708
이재민,706
